Commodity,Avg_Price,Avg_Spread,Max_Price,Transaction_Count
Betal Leaves,16088.89,15066.67,52000.0,3
Surat Beans (Papadi),10000.0,10000.0,15000.0,1
Ajwan,7648.89,6551.67,15000.0,3
Tamarind Fruit,13833.33,5000.0,20000.0,2
Black pepper,68733.33,4766.67,95000.0,6
Duster Beans,8783.33,4250.0,14000.0,2
Ghee,51000.0,4000.0,53000.0,1
Turmeric (raw),5000.0,4000.0,7000.0,1
Dry Chillies,15417.08,3955.0,25000.0,16
Chili Red,15516.67,3000.0,19000.0,2
