Crop,Best_Month,Avg_Price_Rs,Price_Spread_Rs,Market_Activity
Black pepper,May,68733.33,4766.67,6
Ghee,May,51000.0,4000.0,1
Mashrooms,May,19355.56,2500.0,3
Betal Leaves,May,16088.89,15066.67,3
Chili Red,May,15516.67,3000.0,2
Dry Chillies,May,15417.08,3955.0,16
Tamarind Fruit,May,13833.33,5000.0,2
Pomegranate,May,9582.39,2962.03,37
Duster Beans,May,8783.33,4250.0,2
Ajwan,May,7648.89,6551.67,3
Goat,May,5333.33,3000.0,1
